From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
7xp6	P16218	reviewed	GUNH_ACET2	Endoglucanase H	celH Cthe_1472	Acetivibrio thermocellus	900
7xp4	P16218	reviewed	GUNH_ACET2	Endoglucanase H	celH Cthe_1472	Acetivibrio thermocellus	900
7xp5	P16218	reviewed	GUNH_ACET2	Endoglucanase H	celH Cthe_1472	Acetivibrio thermocellus	900
8u4q	P42212	reviewed	GFP_AEQVI	Green fluorescent protein	GFP	Aequorea victoria	238
8u4s	P42212	reviewed	GFP_AEQVI	Green fluorescent protein	GFP	Aequorea victoria	238
8u4r	P42212	reviewed	GFP_AEQVI	Green fluorescent protein	GFP	Aequorea victoria	238
7pgb	Q0ABW0	unreviewed	Q0ABW0_ALKEH	Ion transport protein	Mlg_0322	Alkalilimnicola ehrlichii	288
6e1k	Q94KI8	reviewed	TPC1_ARATH	Two pore calcium channel protein 1	TPC1 CCH1 FOU2 At4g03560 F9H3.19 T5L23.5	Arabidopsis thaliana	733
8db4	A0A445BYI5	unreviewed	A0A445BYI5_ARAHY	Ara h 2 allergen	Ara h 2 Ahy_A08g040012	Arachis hypogaea	160
8u5l	A7VLA4	unreviewed	A7VLA4_POVBK	Capsid protein VP1		BK polyomavirus	362
7ttm	U5WLK5	unreviewed	U5WLK5_SARS	Spike glycoprotein	S	Bat SARS-like coronavirus RsSHC014	1256
7tty	U5WI05	unreviewed	U5WI05_SARS	Spike glycoprotein	S	Bat SARS-like coronavirus WIV1	1256
7mxl	P15494	reviewed	BEV1A_BETPN	Major pollen allergen Bet v 1-A	BETVIA BETVI	Betula pendula	160
7usl	P0DKX7	reviewed	CYAA_BORPE	Bifunctional hemolysin/adenylate cyclase	cya cyaA BP0760	Bordetella pertussis	1706
8tuz	Q45040	unreviewed	Q45040_BORBG	Outer surface protein A	ospA	Borreliella burgdorferi	273
8tvj	P0CL66	reviewed	OSPA_BORBU	Outer surface protein A	ospA BB_A15	Borreliella burgdorferi	273
8tuz	P0CL66	reviewed	OSPA_BORBU	Outer surface protein A	ospA BB_A15	Borreliella burgdorferi	273
7jwg	P0CL66	reviewed	OSPA_BORBU	Outer surface protein A	ospA BB_A15	Borreliella burgdorferi	273
8tvd	P0CL66	reviewed	OSPA_BORBU	Outer surface protein A	ospA BB_A15	Borreliella burgdorferi	273
8tv3	P0CL66	reviewed	OSPA_BORBU	Outer surface protein A	ospA BB_A15	Borreliella burgdorferi	273
7t25	P0CL66	reviewed	OSPA_BORBU	Outer surface protein A	ospA BB_A15	Borreliella burgdorferi	273
7mtb	P02699	reviewed	OPSD_BOVIN	Rhodopsin	RHO	Bos taurus	348
8iu2	P63212	reviewed	GBG2_BOVIN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Bos taurus	71
8iod	P63212	reviewed	GBG2_BOVIN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Bos taurus	71
7mtb	P28327	reviewed	GRK1_BOVIN	Rhodopsin kinase GRK1	GRK1 RHOK	Bos taurus	561
8gh4	Q10741	reviewed	ADA10_BOVIN	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10 MADM	Bos taurus	748
8wu1	P17870	reviewed	ARRB1_BOVIN	Beta-arrestin-1	ARRB1	Bos taurus	418
2r56	P02754	reviewed	LACB_BOVIN	Beta-lactoglobulin	LGB	Bos taurus	178
8ioc	P63212	reviewed	GBG2_BOVIN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Bos taurus	71
8wz2	P63212	reviewed	GBG2_BOVIN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Bos taurus	71
8zcj	P63212	reviewed	GBG2_BOVIN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Bos taurus	71
5l0q	Q10741	reviewed	ADA10_BOVIN	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10 MADM	Bos taurus	748
5vkd	B8XCM7	unreviewed	B8XCM7_9MONO	Nucleoprotein	NP DF49_53413gpNP DH33_45404gpNP	Bundibugyo virus	739
8da1	P60615	reviewed	3L21A_BUNMU	Alpha-bungarotoxin))		Bungarus multicinctus	95
4v1d	P01495	reviewed	SCX2_CENNO	Beta-mammal toxin Cn2		Centruroides noxius	84
2ybr	P01495	reviewed	SCX2_CENNO	Beta-mammal toxin Cn2		Centruroides noxius	84
2yc1	P01495	reviewed	SCX2_CENNO	Beta-mammal toxin Cn2		Centruroides noxius	84
5cws	G0S024	reviewed	NIC96_CHATD	Nucleoporin NIC96	NIC96 CTHT_0008480	Chaetomium thermophilum	1112
5cws	G0S4X2	reviewed	NUP49_CHATD	Nucleoporin NUP49	NUP49 CTHT_0031980	Chaetomium thermophilum	470
5cws	G0S0R2	reviewed	NUP57_CHATD	Nucleoporin NUP57	NUP57 CTHT_0010940	Chaetomium thermophilum	326
5cws	G0SBQ3	reviewed	NSP1_CHATD	Nucleoporin NSP1	NSP1 CTHT_0054390	Chaetomium thermophilum	678
8i5l	Q9DU46	unreviewed	Q9DU46_CHIBA	Capsid protein	ORF2	Chiba virus	544
8jg5	Q9DU46	unreviewed	Q9DU46_CHIBA	Capsid protein	ORF2	Chiba virus	544
8dwx	Q5XXP3	reviewed	POLS_CHIK3	Structural polyprotein		Chikungunya virus	1248
8dww	Q5XXP3	reviewed	POLS_CHIK3	Structural polyprotein		Chikungunya virus	1248
8dwy	Q5XXP3	reviewed	POLS_CHIK3	Structural polyprotein		Chikungunya virus	1248
4g7y	Q4W8A1	unreviewed	Q4W8A1_CIOIN	Voltage-sensor containing phosphatase	Ci-VSP	Ciona intestinalis	576
4g80	F6XHE4	unreviewed	F6XHE4_CIOIN	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase		Ciona intestinalis	570
4g7v	F6XHE4	unreviewed	F6XHE4_CIOIN	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase		Ciona intestinalis	570
7so7	P18177	reviewed	TCDB_CLODI	Toxin B	tcdB toxB	Clostridioides difficile	2366
7so5	P18177	reviewed	TCDB_CLODI	Toxin B	tcdB toxB	Clostridioides difficile	2366
4np4	P18177	reviewed	TCDB_CLODI	Toxin B	tcdB toxB	Clostridioides difficile	2366
5umi	P16154	reviewed	TCDA_CLODI	Toxin A	tcdA toxA	Clostridioides difficile	2710
8xqs	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
8xqt	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
8yky	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
8xql	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
8xqp	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
8xqn	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
8xqr	Q59310	unreviewed	Q59310_CLOPF	exo-alpha-sialidase	nanH	Clostridium perfringens	694
7ce2	Q9LA13	unreviewed	Q9LA13_CLOTA	Tetanus toxin		Clostridium tetani	451
7oh0	P04958	reviewed	TETX_CLOTE	Tetanus toxin	tetX CTC_p60	Clostridium tetani	1315
8jgb	P0DM27	reviewed	CRFA2_CONTE	Conorfamide-Tx2		Conus textile	72
8vvk	Q8JSZ3	reviewed	GP_CCHFI	Envelopment polyprotein	GP	Crimean-Congo hemorrhagic fever virus	1684
8vww	Q8JSZ3	reviewed	GP_CCHFI	Envelopment polyprotein	GP	Crimean-Congo hemorrhagic fever virus	1684
7l7r	Q8JSZ3	reviewed	GP_CCHFI	Envelopment polyprotein	GP	Crimean-Congo hemorrhagic fever virus	1684
7tpg	Q1LJU1	unreviewed	Q1LJU1_CUPMC	Cell surface polysaccharide polymerase/ligase	Rmet_2712	Cupriavidus metallidurans	413
7tpj	Q1LJU1	unreviewed	Q1LJU1_CUPMC	Cell surface polysaccharide polymerase/ligase	Rmet_2712	Cupriavidus metallidurans	413
5y11	R4V2Q5	reviewed	GP_SFTS	Envelopment polyprotein		Dabie bandavirus	1073
8r9w	W8Q9Y7	unreviewed	W8Q9Y7_9NIDO	Spike protein	S	Deltacoronavirus PDCoV/USA/Illinois121/2014	1160
8da0	C0HJD7	reviewed	3L24_DENPO	Alpha-elapitoxin-Dpp2d		Dendroaspis polylepis polylepis	72
5vic	P17763	reviewed	POLG_DEN1W	Genome polyprotein		Dengue virus type 1	3392
4al8	P17763	reviewed	POLG_DEN1W	Genome polyprotein		Dengue virus type 1	3392
7a3t	P27915	reviewed	POLG_DEN3P	Genome polyprotein		Dengue virus type 3	3390
7a3q	P09866	reviewed	POLG_DEN4D	Genome polyprotein		Dengue virus type 4	3387
8vk1	I2CMD6	unreviewed	I2CMD6_DERPT	Der p 2 variant 3		Dermatophagoides pteronyssinus	129
7mlh	P49278	reviewed	ALL2_DERPT	Mite group 2 allergen Der p 2	DERP2	Dermatophagoides pteronyssinus	146
9clp	Q90495	reviewed	VM3E_ECHCA	Zinc metalloproteinase-disintegrin-like ecarin		Echis carinatus	616
5tpn	Q38650	unreviewed	Q38650_BPOX2	Fibritin	wac	Enterobacteria phage Ox2	487
6k69	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
5xez	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
8r1d	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8r8k	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7zcf	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8cim	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7evz	D9IEF7	unreviewed	D9IEF7_BPT4	Endolysin	e T4Tp126	Enterobacteria phage T4	164
8f6x	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7zr8	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8eit	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
